시설명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,설치장소설명,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,동시사용가능대수,공기주입가능여부,휴대전화충전가능여부,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
등촌3동주민센터,서울특별시,강서구,11500,서울특별시 강서구 화곡로63길 96,서울특별시 강서구 등촌동 705-4,37.558888,126.847919,1층,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,서울특별시 강서구 등촌3동주민센터,02-2600-7445,2022-08-04,3150000,서울특별시 강서구
가양4종합사회복지관,서울특별시,강서구,11500,서울특별시 강서구 양천로57길 37,서울특별시 강서구 가양동 1478 가양4단지아파트,37.565932,126.852069,1층,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,가양4종합사회복지관,02-2668-6689,2022-08-04,3150000,서울특별시 강서구
가양5종합사회복지관,서울특별시,강서구,11500,서울특별시 강서구 양천로 57길 36,서울특별시 강서구 가양동 1481 가양5단지아파트,37.564627,126.8535195605,1층,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,가양5종합사회복지관,02-2668-4603,2022-08-04,3150000,서울특별시 강서구
등촌4종합사회복지관,서울특별시,강서구,11500,서울특별시 강서구 공항대로39길 59,서울특별시 강서구 등촌동 690 등촌4단지주공아파트,37.562259,126.842895,1층,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,등촌4종합사회복지관,02-2658-8800,2022-08-04,3150000,서울특별시 강서구
등촌9종합사회복지관,서울특별시,강서구,11500,서울특별시 강서구 화곡로63가길 92,서울특별시 강서구 등촌동 704,37.561952,126.850209,1층,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,등촌9종합사회복지관,02-2658-4127,2022-08-04,3150000,서울특별시 강서구
강서다솔장애인자립생활센터,서울특별시,강서구,11500,"서울특별시 강서구 양천로57길 36, 가양5단지 A상가 (가양동)",서울특별시 강서구 가양동 1481,37.564627,126.853521,지하 106호,09:30,17:30,00:00,00:00,00:00,00:00,2,Y,Y,강서다솔장애인자립생활센터,070-4200-2136,2022-08-04,3150000,서울특별시 강서구
강서구 장애인단체 총연합회,서울특별시,강서구,11500,"서울특별시 강서구 공항대로 247, C동(마곡동)",서울특별시 강서구 마곡동 797-1,37.559314,126.835239,619호,09:00,18:00,00:00,00:00,00:00,00:00,2,N,N,서울특별시 강서구 장애인단체 총연합회,02-6346-3918,2022-08-04,3150000,서울특별시 강서구
허니장애인자립생활센터,서울특별시,강서구,11500,서울특별시 강서구 공항대로 228(마곡동),서울특별시 강서구 마곡동 800-5,37.558633,126.832674,1002호,09:00,18:00,00:00,00:00,00:00,00:00,2,N,Y,허니장애인자립생활센터,02-2661-7724,2022-08-04,3150000,서울특별시 강서구
행복을파는장사꾼,서울특별시,강서구,11500,서울특별시 강서구 까치산로 134(화곡동),서울특별시 강서구 화곡동 958-12,37.549281,126.851413,3층,09:00,18:00,00:00,00:00,00:00,00:00,1,N,N,행복을파는장사꾼,02-2065-1591,2022-08-04,3150000,서울특별시 강서구
꿈장애인자립생활센터,서울특별시,강서구,11500,서울특별시 강서구 화곡로31다길 11(화곡동),서울특별시 강서구 화곡동 1026-18,37.544797,126.838149,지상층,10:00,17:00,00:00,00:00,00:00,00:00,2,N,Y,꿈장애인자립생활센터,02-2691-2692,2022-08-04,3150000,서울특별시 강서구
청곡종합사회복지관,대구광역시,수성구,27260,대구광역시 수성구 노변공원로 49-1,,35.83759349,128.6984653,지하1층 로비,09:00,18:00,00:00,00:00,00:00,00:00,1,N,N,대구광역시 수성구청,053-666-2565,2022-07-08,3460000,대구광역시 수성구
장애여성인력개발센터,서울특별시,강서구,11500,서울특별시 강서구 화곡로 346,서울특별시 강서구 화곡동 1111-2,37.5545091254,126.8520185641,2층,09:00,18:00,00:00,00:00,00:00,00:00,1,N,N,장애여성인력개발센터,02-6929-0002,2022-08-04,3150000,서울특별시 강서구
통영시청 제1청사,경상남도,통영시,48220,경상남도 통영시 통영해안로 515,경상남도 통영시 무전동 357,34.85434354,128.4331781,통영시청 제1청사 1층 민원실내 농협(시금고) 옆,09:00,18:00,00:00,00:00,00:00,00:00,2,N,Y,경상남도 통영시 노인장애인복지과,055-650-4234,2022-08-03,5330000,경상남도 통영시
통영시청 제2청사,경상남도,통영시,48220,경상남도 통영시 해미당1길 33,경상남도 통영시 무전동 376-1,34.85593707,128.4309513,통영시청 제2청사 1층 농협(시금고) 옆,09:00,18:00,00:00,00:00,00:00,00:00,2,N,Y,경상남도 통영시 노인장애인복지과,055-650-4234,2022-08-03,5330000,경상남도 통영시
봉평동행정복지센터,경상남도,통영시,48220,경상남도 통영시 도남로 185,경상남도 통영시 도남동 399-2,34.82960109,128.4243196,봉평동행정복지센터 1층,09:00,18:00,00:00,00:00,00:00,00:00,2,N,Y,경상남도 통영시 노인장애인복지과,055-650-4234,2022-08-03,5330000,경상남도 통영시
통영체육관,경상남도,통영시,48220,경상남도 통영시 평인일주로 841,경상남도 통영시 평림동 463,34.85680323,128.3974792,통영체육관 1층,09:00,18:00,00:00,00:00,00:00,00:00,2,N,Y,경상남도 통영시 노인장애인복지과,055-650-4234,2022-08-03,5330000,경상남도 통영시
통영시장애인종합복지관,경상남도,통영시,48220,경상남도 통영시 용남면 기호바깥길 7-89,경상남도 통영시 용남면 장문리 912,34.8729955,128.4199928,통영시장애인종합복지관 정문 입구 왼쪽,09:00,18:00,00:00,00:00,00:00,00:00,2,N,Y,경상남도 통영시 노인장애인복지과,055-650-4234,2022-08-03,5330000,경상남도 통영시
통영시종합사회복지관,경상남도,통영시,48220,경상남도 통영시 안개4길 94,경상남도 통영시 무전동 464-1,34.85923133,128.4323969,통영시종합사회복지관 1층,09:00,18:00,00:00,00:00,00:00,00:00,2,N,Y,경상남도 통영시 노인장애인복지과,055-650-4234,2022-08-03,5330000,경상남도 통영시
군산노인종합복지관,전라북도,군산시,45130,전라북도 군산시 둔배미길 29,전라북도 군산시 중앙로2가 140-8,35.9829328,126.7158346,자전거보관소 옆,00:00,23:59,00:00,23:59,00:00,23:59,1,Y,N,전라북도 군산시청,063-454-3172,2022-08-05,4670000,전라북도 군산시
누리장애인자립생활센터,서울특별시,강서구,11500,서울특별시 강서구 방화동로 126,서울특별시 강서구 방화동 567-4,37.571954,126.811926,지하1층,08:00,22:00,08:00,22:00,08:00,22:00,2,Y,Y,누리장애인자립생활센터,02-2064-0896,2022-08-04,3150000,서울특별시 강서구
강서뇌성마비복지관,서울특별시,강서구,11500,서울특별시 강서구 방화대로45길 69,서울특별시 강서구 방화동 452-5,37.574209,126.812581,지하2층,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,강서뇌성마비복지관,02-2662-3491,2022-08-04,3150000,서울특별시 강서구
강서뇌성마비복지관,서울특별시,강서구,11500,서울특별시 강서구 방화대로45길 69,서울특별시 강서구 방화동 452-5,37.574209,126.812581,5층,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,강서뇌성마비복지관,02-2662-3491,2022-08-04,3150000,서울특별시 강서구
기쁜우리체육센터,서울특별시,강서구,11500,서울특별시 강서구 허준로 65 기쁜우리체육센터,서울특별시 강서구 가양동 1466,37.569309,126.848694,1층,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,기쁜우리체육센터,02-3663-8114,2022-08-04,3150000,서울특별시 강서구
샬롬의집,서울특별시,강서구,11500,서울특별시 강서구 방화대로7가길 11,서울특별시 강서구 공항동 661-5,37.556884,126.815688,1층,09:00,19:00,09:00,19:00,00:00,00:00,2,Y,Y,샬롬의집,02-2662-2488,2022-08-04,3150000,서울특별시 강서구
남은자장애인자립생활센터,서울특별시,강서구,11500,서울특별시 강서구 공항대로 164,서울특별시 강서구 마곡동 798-2,37.559326,126.825515,710호,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,남은자장애인자립생활센터,02-3664-0874,2022-08-04,3150000,서울특별시 강서구
강서길라장애인자립생활센터,서울특별시,강서구,11500,서울특별시 강서구 양천로 551-24,서울특별시 강서구 가양동 449-21,37.5588704565,126.861959,502호,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,강서길라장애인자립생활센터,02-3662-0946,2022-08-04,3150000,서울특별시 강서구
맑은장애인자립생활센터,서울특별시,강서구,11500,서울특별시 강서구 강서로 466,서울특별시 강서구 등촌동 684-2,37.566899,126.841426,우리벤처타운 201호,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,맑은장애인자립생활센터,02-2605-0420,2022-08-04,3150000,서울특별시 강서구
기쁜우리복지관,서울특별시,강서구,11500,서울특별시 강서구 허준로 65,서울특별시 강서구 가양동 1466,37.569309,126.848694,1층 프론트,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,기쁜우리복지관,02-3665-3831,2022-08-04,3150000,서울특별시 강서구
방화역,서울특별시,강서구,11500,서울특별시 강서구 금낭화로 132,서울특별시 강서구 방화동 829-15,37.577003,126.8126299338,지하1층 계단 옆,05:00,23:59,05:00,23:59,05:00,23:59,2,Y,Y,방화역,02-6311-5101,2022-08-04,3150000,서울특별시 강서구
개화산역,서울특별시,강서구,11500,서울특별시 강서구 양천로 22,서울특별시 강서구 방화동 846,37.5722700247,126.806002,지하1층 대합실 만남의장소 의자 옆,05:00,23:59,05:00,23:59,05:00,23:59,2,Y,Y,개화산역,02-6311-5111,2022-08-04,3150000,서울특별시 강서구
김포공항역,서울특별시,강서구,11500,서울특별시 강서구 하늘길 77,서울특별시 강서구 방화동 886,37.572353,126.801812,지하1층 자동발매기 앞 공간,05:00,23:59,05:00,23:59,05:00,23:59,2,Y,Y,김포공항역,02-2656-0902,2022-08-04,3150000,서울특별시 강서구
마곡나루역,서울특별시,강서구,11500,서울특별시 강서구 마곡중앙5로 2,서울특별시 강서구 마곡동 760-3,37.566793,126.827518,지하1층 휴게공간,05:00,23:59,05:00,23:59,05:00,23:59,2,Y,Y,마곡나루역,02-2656-0905,2022-08-04,3150000,서울특별시 강서구
양천향교역,서울특별시,강서구,11500,서울특별시 강서구 양천로 341,서울특별시 강서구 가양동 159-3,37.568761,126.840818,지하1층 변전실 앞,05:00,23:59,05:00,23:59,05:00,23:59,2,Y,Y,양천향교역,02-2656-0906,2022-08-04,3150000,서울특별시 강서구
가양역,서울특별시,강서구,11500,서울특별시 강서구 양천로 485,서울특별시 강서구 가양동 14-61,37.561554,126.854388,지하1층 엘리베이터 옆,05:00,23:59,05:00,23:59,05:00,23:59,2,Y,Y,가양역,02-2656-0907,2022-08-04,3150000,서울특별시 강서구
가양역,서울특별시,강서구,11500,서울특별시 강서구 양천로 485,서울특별시 강서구 가양동 14-61,37.561554,126.854388,지하1층 중간계단부 용역대기실 앞,05:00,23:59,05:00,23:59,05:00,23:59,2,Y,Y,가양역,02-2656-0907,2022-08-04,3150000,서울특별시 강서구
공항동주민센터,서울특별시,강서구,11500,서울특별시 강서구 송정로 45,서울특별시 강서구 공항동 60-28,37.558783,126.810074,1층,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,서울특별시 강서구 공항동주민센터,02-2600-7937,2022-08-04,3150000,서울특별시 강서구
발산1동주민센터,서울특별시,강서구,11500,서울특별시 강서구 강서로47길 54,서울특별시 강서구 내발산동 681-5,37.553116,126.833177,1층,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,서울특별시 강서구 발산1동주민센터,02-2600-7897,2022-08-04,3150000,서울특별시 강서구
강서구청 별관 복지지원센터,서울특별시,강서구,11500,서울특별시 강서구 화곡로 302,서울특별시 강서구 화곡동 980-16,37.550966,126.849532,1층,09:00,18:00,00:00,00:00,00:00,00:00,1,N,N,서울특별시 강서구 강서구청 별관 복지지원센터,02-2600-6696,2022-08-04,3150000,서울특별시 강서구
현내면행정복지센터,강원도,고성군,42820,강원도 고성군 현내면 한나루로 67,강원도 고성군 현내면 대진리 199-4,38.4943108201,128.4269937246,현내면 사무실 현관 입구,09:00,18:00,09:00,18:00,09:00,18:00,1,Y,Y,현내면행정복지센터,033-680-3863,2022-06-13,4340000,강원도 고성군
죽왕면행정복지센터,강원도,고성군,42820,강원도 고성군 죽왕면 오호길 11,강원도 고성군 죽왕면 오호리 170,38.3287619258,128.5252062390,죽왕면 복지팀 민원대 옆쪽,09:00,18:00,09:00,18:00,09:00,18:00,1,Y,Y,죽왕면행정복지센터,033-680-3889,2022-06-13,4340000,강원도 고성군
수유제1동 주민센터,서울특별시,강북구,11305,서울특별시 강북구 삼양로 299,서울특별시 강북구 수유동 605-412,37.63005097,127.017543,1층 입구,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,서울특별시 강북구청,02-901-6677,2022-04-06,3080000,서울특별시 강북구
토성면행정복지센터,강원도,고성군,42820,강원도 고성군 토성면 천진1길 4,강원도 고성군 토성면 천진리 163-2,38.257308,128.558892,토성면 민원팀 맞은편,09:00,18:00,09:00,18:00,09:00,18:00,1,Y,Y,토성면행정복지센터,033-680-4057,2022-06-13,4340000,강원도 고성군
렛츠런파크 제주,제주특별자치도,제주시,50110,제주특별자치도 제주시 애월읍 평화로 2144,제주특별자치도 제주시 애월읍 유수암리 1206,33.4098413,126.3931243,럭키빌 1번 건물 서비스 아카데미 부서 옆,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,N,제주장애인자립생활센터,064-751-9103,2022-05-09,6500000,제주특별자치도
메이즈랜드,제주특별자치도,제주시,50110,제주특별자치도 제주시 구좌읍 비자림로 2134-47,제주특별자치도 제주시 구좌읍 평대리 3322,33.48915381,126.801098,미로박물관 입구 좌측,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,N,제주장애인자립생활센터,064-751-9103,2022-05-09,6500000,제주특별자치도
청풍면 복지회관,전라남도,화순군,46790,전라남도 화순군 청풍면 평지촌길 40,,34.87631367,126.9700258,복지회관 1층,09:00,18:00,00:00,00:00,00:00,00:00,1,N,N,전라남도 화순군,061-379-5638,2022-06-14,4900000,전라남도 화순군
간성읍행정복지센터,강원도,고성군,42820,강원도 고성군 간성읍 간성로 67번길 14,강원도 고성군 간성읍 하리 28,38.378163,128.466875,간성읍 청사 내 복지상담실 옆,09:00,18:00,09:00,18:00,09:00,18:00,1,Y,Y,간성읍행정복지센터,033-680-3802,2022-06-13,4340000,강원도 고성군
거진읍행정복지센터,강원도,고성군,42820,강원도 고성군 거진읍 자산천로 240,강원도 고성군 거진읍 송포리 634,38.436112,128.452517,거진읍 사무실 입구 오른쪽,09:00,18:00,09:00,18:00,09:00,18:00,1,Y,Y,거진읍행정복지센터,033-680-3851,2022-06-13,4340000,강원도 고성군
대명1동 주민센터,대구광역시,남구,27200,대구광역시 남구 두류공원로 38,대구광역시 남구 대명동 1652-1,35.8417305,128.5735803,1층 민원실,09:00,18:00,00:00,00:00,00:00,00:00,0,N,N,대구광역시 남구 대명1동 행정복지센터,053-664-3801,2022-08-03,3440000,대구광역시 남구
대명3동 주민센터,대구광역시,남구,27200,대구광역시 남구 명덕로20길 115,대구광역시 남구 대명동 2144-3,35.85230083,128.5790578,1층 민원실,09:00,18:00,00:00,00:00,00:00,00:00,0,N,N,대구광역시 남구 대명3동 행정복지센터,053-664-3839,2022-08-03,3440000,대구광역시 남구
대명11동 주민센터,대구광역시,남구,27200,대구광역시 남구 관문시장4길 53,대구광역시 남구 대명동 1180,35.83624038,128.5606341,1층 민원실,09:00,18:00,00:00,00:00,00:00,00:00,0,N,N,대구광역시 남구 대명11동 행정복지센터,053-664-3961,2022-08-03,3440000,대구광역시 남구
대명10동 주민센터,대구광역시,남구,27200,대구광역시 남구 대명복개로4길 166,대구광역시 남구 대명동 1624-21,35.84002858,128.5689557,1층 민원실,09:00,18:00,00:00,00:00,00:00,00:00,0,N,N,대구광역시 남구 대명10동 행정복지센터,053-664-3939,2022-08-03,3440000,대구광역시 남구
대명6동 주민센터,대구광역시,남구,27200,대구광역시 남구 대명남로 73,대구광역시 남구 대명동 1086-1,35.83509159,128.5660918,1층 민원실,09:00,18:00,00:00,00:00,00:00,00:00,0,N,N,대구광역시 남구 대명6동 행정복지센터,053-664-3909,2022-08-03,3440000,대구광역시 남구
봉덕2동 주민센터,대구광역시,남구,27200,대구광역시 남구 이천로10길 50,대구광역시 남구 봉덕동 540-1,35.8438374,128.6011308,1층 로비,09:00,18:00,00:00,00:00,00:00,00:00,0,N,Y,대구광역시 남구 봉덕2동 행정복지센터,053-664-3756,2022-08-03,3440000,대구광역시 남구
대명2동 주민센터,대구광역시,남구,27200,대구광역시 남구 명덕로32길 30,대구광역시 남구 대명2동 1827,35.8552846,128.5862413,1층 민원실 외부,09:00,18:00,00:00,00:00,00:00,00:00,0,N,Y,대구광역시 남구 대명2동 행정복지센터,053-664-3818,2022-08-03,3440000,대구광역시 남구
대명4동 주민센터,대구광역시,남구,27200,대구광역시 남구 두류공원로20길 19,대구광역시 남구 대명동 3043-34,35.8459643,128.569528,1층 민원실,09:00,18:00,00:00,00:00,00:00,00:00,0,N,Y,대구광역시 남구 대명4동 행정복지센터,053-664-3853,2022-08-03,3440000,대구광역시 남구
대명9동 주민센터,대구광역시,남구,27200,대구광역시 남구 큰골길 53,대구광역시 남구 대명동 2680-7,35.83725432,128.5790384,1층 민원실 외부,09:00,18:00,00:00,00:00,00:00,00:00,0,N,Y,대구광역시 남구 대명9동 행정복지센터,053-664-3918,2022-08-03,3440000,대구광역시 남구
이천동,대구광역시,남구,27200,대구광역시 남구 이천로28길 18,대구광역시 남구 이천동 383-22,35.8536812,128.599433,1층 민원실,09:00,18:00,00:00,00:00,00:00,00:00,0,N,Y,대구광역시 남구 이천동 행정복지센터,053-664-3719,2022-08-03,3440000,대구광역시 남구
대덕문화전당,대구광역시,남구,27200,대구광역시 남구 앞산순환로 478,대명동 산201-4,35.83129426,128.5769682,1층 로비,09:00,18:00,00:00,00:00,00:00,00:00,0,N,Y,대덕문화전당,053-664-3148,2022-08-03,3440000,대구광역시 남구
보은읍행정복지센터,충청북도,보은군,44200,충청북도 보은군 보은읍 삼산로 50,충청북도 보은군 보은읍 삼산리 130,36.48358623,127.7169679,보은읍행정복지센터 정문입구 왼편,09:00,18:00,09:00,18:00,09:00,18:00,2,N,Y,충청북도 보은군청 주민복지과,043-540-3847,2022-08-02,4420000,충청북도 보은군
보건소,충청북도,보은군,44200,충청북도 보은군 보은읍 동광길 50,충청북도 보은군 보은읍 삼산리 170-2,36.48645144,127.7161807,보건소 정문 입구 정면,09:00,18:00,09:00,18:00,09:00,18:00,2,N,Y,충청북도 보은군청 주민복지과,043-540-3847,2022-08-02,4420000,충청북도 보은군
장애인회관,충청북도,보은군,44200,충청북도 보은군 보은읍 뱃들로 68-38,충청북도 보은군 보은읍 이평리 105-2,36.48868159,127.7234985,장애인회관 정문 입구 정면,09:00,18:00,09:00,18:00,09:00,18:00,2,N,Y,충청북도 보은군청 주민복지과,043-540-3847,2022-08-02,4420000,충청북도 보은군
보은군노인장애인복지관,충청북도,보은군,44200,충청북도 보은군 보은읍 뱃들4길 11-10,충청북도 보은군 보은읍 이평리 107,36.48836424,127.7239233,보은군노인장애인복지관 정문입구 오른편,09:00,18:00,09:00,18:00,09:00,18:00,2,N,Y,충청북도 보은군청 주민복지과,043-540-3847,2022-08-02,4420000,충청북도 보은군
군산경로식당,전라북도,군산시,45130,전라북도 군산시 중앙로 44-8,전라북도 군산시 대명동 385-85,35.9791865,126.7211732,군산경로식당 주차장앞,00:00,23:59,00:00,23:59,00:00,23:59,1,Y,N,전라북도 군산시청,063-454-3172,2022-08-05,4670000,전라북도 군산시
은파호수공원,전라북도,군산시,45130,전라북도 군산시 은파순환길 9,전라북도 군산시 나운동 1223-5,35.9553629,126.6890783,은파호수공원 제1주차장 자전거보관소옆,00:00,23:59,00:00,23:59,00:00,23:59,1,Y,N,전라북도 군산시청,063-454-3172,2022-08-05,4670000,전라북도 군산시
군산월명체육관,전라북도,군산시,45130,전라북도 군산시 번영로 281,전라북도 군산시 사정동 152,35.9627844,126.7460371,군산월명체육관 정문앞 왼쪽,00:00,23:59,00:00,23:59,00:00,23:59,1,Y,N,전라북도 군산시청,063-454-3172,2022-08-05,4670000,전라북도 군산시
군산시보건소,전라북도,군산시,45130,전라북도 군산시 수송동로 58,전라북도 군산시 수송동 851-1,35.9647288,126.7201756,보건소 현관안쪽 2층올라가는 계단 밑,00:00,23:59,00:00,23:59,00:00,23:59,1,Y,N,전라북도 군산시청,063-454-3172,2022-08-05,4670000,전라북도 군산시
군산의료원,전라북도,군산시,45130,전라북도 군산시 의료원로 27,전라북도 군산시 지곡동 29-1,35.95493063,126.711918,군산의료원 현관 접수처 앞,00:00,23:59,00:00,23:59,00:00,23:59,1,Y,N,전라북도 군산시청,063-454-3172,2022-08-05,4670000,전라북도 군산시
군산시청,전라북도,군산시,45130,전라북도 군산시 시청로 17,전라북도 군산시 조촌동 888,35.9676359,126.7368362,군산시청 민원실앞 자전거보관소,00:00,23:59,00:00,23:59,00:00,23:59,1,Y,N,전라북도 군산시청,063-454-3172,2022-08-05,4670000,전라북도 군산시
주공4차아파트,전라북도,군산시,45130,전라북도 군산시 문화로 36,전라북도 군산시 나운동 45,35.9694682,126.7099547,군산시 주공4차 아파트,00:00,23:59,00:00,23:59,00:00,23:59,1,Y,N,전라북도 군산시청,063-454-3172,2022-08-05,4670000,전라북도 군산시
군산장애인종합복지관,전라북도,군산시,45130,전라북도 군산시 칠성안3길 37,전라북도 군산시 산북동 3612-4,35.959779,126.677402,"정문 옆, 이동식충전기",00:00,23:59,00:00,23:59,00:00,23:59,1,Y,N,전라북도 군산시청,063-454-3172,2022-08-05,4670000,전라북도 군산시
삼학동주민센터,전라북도,군산시,45130,전라북도 군산시 미원로 17,전라북도 군산시 오룡동 827-1,35.9769596,126.7076264,삼학동주민센터 장애인주차장,00:00,23:59,00:00,23:59,00:00,23:59,1,Y,N,전라북도 군산시청,063-454-3172,2022-08-05,4670000,전라북도 군산시
금강노인복지관,전라북도,군산시,45130,전라북도 군산시 백릉로 245,전라북도 군산시 구암동 307-4,35.9804858,126.7504256,복지관 정문,00:00,23:59,00:00,23:59,00:00,23:59,1,Y,N,전라북도 군산시청,063-454-3172,2022-08-05,4670000,전라북도 군산시
남구청,대구광역시,남구,27200,대구광역시 남구 이천로 51,대구광역시 남구 봉덕동 565-5,35.84594995,128.5975989,1층 로비,09:00,18:00,00:00,00:00,00:00,00:00,0,N,Y,대구광역시 남구청,053-664-3204,2022-08-03,3440000,대구광역시 남구
남구보건소,대구광역시,남구,27200,대구광역시 남구 영선길 34,대구광역시 남구 대명동 2003,35.85389994,128.5915225,1층 민원실,09:00,18:00,00:00,00:00,00:00,00:00,0,N,N,대구광역시 남구 보건소,053-664-3606,2022-08-03,3440000,대구광역시 남구
장애인재활지원센터,대구광역시,남구,27200,대구광역시 남구 대봉로 112-1,대구광역시 남구 이천동 559-16,35.84866137,128.6041819,1층 로비,09:00,18:00,00:00,00:00,00:00,00:00,0,N,N,대구광역시 남구 장애인재활지원센터,053-471-0606,2022-08-03,3440000,대구광역시 남구
대구대재활의원,대구광역시,남구,27200,대구광역시 남구 명덕로8길 70,대구광역시 남구 대명동 2289-5,35.8565952,128.5748742,4층 엘리베이터 옆,09:00,18:00,00:00,00:00,00:00,00:00,0,N,N,대구대학교 재활의원,053-650-8080,2022-08-03,3440000,대구광역시 남구
남구종합사회복지관,대구광역시,남구,27200,대구광역시 남구 중앙대로38길 17,대구광역시 남구 대명동 19-1,35.849252,128.5919719,1층 주차장,09:00,18:00,00:00,00:00,00:00,00:00,0,N,N,남구종합사회복지관,053-476-7700,2022-08-03,3440000,대구광역시 남구
남부도서관,대구광역시,남구,27200,대구광역시 남구 앞산순환로 512,대명동 산192-4,35.8320699,128.5807583,1층 안내실,09:00,18:00,00:00,00:00,00:00,00:00,0,N,N,대구광역시립남부도서관,053-231-2300,2022-08-03,3440000,대구광역시 남구
강원도 영월군 장애인문화복지센터,강원도,영월군,42750,강원도 영월군 영월읍 하송로 46-41,강원도 영월군 영월읍 하송리 236-1,37.18582997,128.4612903,지하1층 출입구 우측,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,강원도 영월군청,033-370-2321,2022-06-15,4270000,강원도 영월군
성암생활체육관,경상북도,경산시,47290,경상북도 경산시 옥산로 25,경상북도 경산시 사정동 86-7,35.81748508,128.727553,입구 왼쪽(외부),00:00,23:59,00:00,23:59,00:00,23:59,2,Y,Y,경상북도 경산시,053-810-5333,2022-06-14,5130000,경상북도 경산시
서부2동행정복지센터,경상북도,경산시,47290,경상북도 경산시 경산로44길 7,경상북도 경산시 옥산동 731,35.827597,128.725991,입구 왼쪽(내부),08:00,21:00,09:00,18:00,09:00,18:00,2,N,Y,경상북도 경산시,053-810-5333,2022-06-14,5130000,경상북도 경산시
남부동행정복지센터,경상북도,경산시,47290,경상북도 경산시 경안로 68,경상북도 경산시 신교동 73-1,35.81371169,128.739173,건물 오른쪽(외부),00:00,23:59,00:00,23:59,00:00,23:59,2,Y,Y,경상북도 경산시,053-810-5333,2022-06-14,5130000,경상북도 경산시
경산시장애인종합복지관,경상북도,경산시,47290,경상북도 경산시 경청로222길 79,경상북도 경산시 백천동 146-7,35.80179229,128.7478079,입구 오른쪽(외부),00:00,23:59,00:00,23:59,00:00,23:59,2,Y,Y,경상북도 경산시,053-810-5333,2022-06-14,5130000,경상북도 경산시
경산시백천사회복지관,경상북도,경산시,47290,경상북도 경산시 경청로222길 9-1,경상북도 경산시 백천동 570,35.80421513,128.7408122,경로식당 좌측,00:00,23:59,00:00,23:59,00:00,23:59,2,Y,Y,경상북도 경산시,053-810-5333,2022-06-14,5130000,경상북도 경산시
경산시 여성회관,경상북도,경산시,47290,경상북도 경산시 서상길 77,경상북도 경산시 서상동 143-8,35.81874618,128.7339954,정문 왼쪽,00:00,23:59,00:00,23:59,00:00,23:59,2,Y,Y,경상북도 경산시,053-810-5333,2022-06-14,5130000,경상북도 경산시
경산생활체육공원,경상북도,경산시,47290,경상북도 경산시 남매로 100,경상북도 경산시 계양동 493,35.82111713,128.7437733,실내체육관 1층 남문,06:00,23:00,09:00,18:00,09:00,18:00,2,N,Y,경상북도 경산시,053-810-5333,2022-06-14,5130000,경상북도 경산시
북부동행정복지센터,경상북도,경산시,47290,경상북도 경산시 중방로 125,경상북도 경산시 계양동 61-4,35.83326728,128.746527,입구 왼쪽(외부),00:00,23:59,00:00,23:59,00:00,23:59,2,Y,Y,경상북도 경산시,053-810-5333,2022-06-14,5130000,경상북도 경산시
중방동행정복지센터,경상북도,경산시,47290,경상북도 경산시 중앙초등길 62,경상북도 경산시 중방동 432-6,35.827014,128.7339723,청사 입구(외부),00:00,23:59,00:00,23:59,00:00,23:59,2,Y,Y,경상북도 경산시,053-810-5333,2022-06-14,5130000,경상북도 경산시
비자림,제주특별자치도,제주시,50110,제주특별자치도 제주시 구좌읍 비자숲길 55,제주특별자치도 제주시 구좌읍 평대리 3161-1,33.49109728,126.8114612,1층 장애인화장실 앞,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,N,제주장애인자립생활센터,064-751-9103,2022-05-09,6500000,제주특별자치도
제주장애인연맹(제주DPI),제주특별자치도,제주시,50110,제주특별자치도 제주시 고마로 56,제주특별자치도 제주시 일도이동 330-26,33.50921152,126.5392339,삼부장미 주상복합아파트 202호,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,N,제주장애인자립생활센터,064-751-9103,2022-05-09,6500000,제주특별자치도
